Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age
3444.0,28-Nov-21,Area Sales Manager,NEL,1,Contract,Zone A,Part-Time,Sales,Engineers,15-11-1983,KY,Male,Other,Widowed,Fully Meets,3.0,14-12-2022,1.0,2.0,4.0,02-Nov-22,Technical Skills,External,Failed,2.0,388.84,38.0
3445.0,16-Jan-21,Area Sales Manager,PL,1,Contract,Zone C,Full-Time,Sales,Project Management - Con,07-12-1985,KY,Female,Other,Married,Exceeds,4.0,07-05-2023,4.0,5.0,2.0,14-Jul-23,Project Management,External,Completed,2.0,879.64,36.0
3446.0,24-Aug-21,Area Sales Manager,BPC,1,Part-Time,Zone A,Part-Time,Sales,Field Operations,01-05-1996,TX,Female,White,Divorced,Exceeds,2.0,21-05-2023,4.0,3.0,5.0,11-Dec-22,Technical Skills,Internal,Failed,5.0,701.13,25.0
3450.0,01-Sep-20,Area Sales Manager,MSC,1,Contract,Zone C,Temporary,Sales,Field Operations,11-08-1994,CO,Male,Other,Single,Exceeds,2.0,18-01-2023,4.0,3.0,5.0,12-Jan-23,Technical Skills,Internal,Completed,4.0,186.07,26.0
3451.0,18-Feb-21,Area Sales Manager,TNS,1,Contract,Zone C,Full-Time,Sales,General - Con,15-01-1968,CO,Male,Other,Divorced,Exceeds,3.0,29-04-2023,5.0,1.0,2.0,22-Mar-23,Technical Skills,External,Completed,1.0,921.97,53.0
3452.0,08-Nov-22,Area Sales Manager,PYZ,1,Part-Time,Zone A,Part-Time,Sales,General - Con,07-01-1947,IN,Male,Black,Divorced,Fully Meets,2.0,19-01-2023,5.0,5.0,2.0,13-Sep-22,Customer Service,Internal,Failed,1.0,691.04,75.0
3453.0,13-Oct-22,Area Sales Manager,WBL,1,Contract,Zone C,Part-Time,Sales,Fielders,07-04-1982,MA,Male,White,Widowed,Fully Meets,4.0,17-09-2022,5.0,5.0,3.0,25-Aug-22,Customer Service,External,Completed,5.0,964.44,40.0
3454.0,11-Sep-22,Area Sales Manager,PYZ,1,Full-Time,Zone C,Full-Time,IT/IS,General - Con,29-01-1970,KY,Male,Hispanic,Married,Needs Improvement,4.0,14-03-2023,4.0,4.0,2.0,07-Feb-23,Communication Skills,Internal,Passed,3.0,184.9,52.0
3455.0,29-Jun-21,Area Sales Manager,WBL,1,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,18-01-1999,KY,Male,Other,Widowed,Exceeds,4.0,12-08-2022,2.0,1.0,1.0,17-Mar-23,Project Management,External,Passed,1.0,220.41,22.0
3456.0,06-Mar-23,Area Sales Manager,NEL,1,Full-Time,Zone A,Temporary,Sales,Field Operations,25-09-1946,KY,Female,Black,Divorced,Fully Meets,3.0,30-03-2023,4.0,3.0,4.0,08-Jun-23,Technical Skills,External,Passed,2.0,336.82,77.0
3457.0,25-Sep-20,Area Sales Manager,PL,1,Full-Time,Zone B,Temporary,Sales,Engineers,23-08-1947,KY,Female,White,Divorced,Needs Improvement,3.0,21-04-2023,5.0,1.0,4.0,15-Apr-23,Customer Service,External,Completed,4.0,485.73,73.0
3460.0,19-Feb-20,Area Sales Manager,SVG,1,Full-Time,Zone A,Full-Time,Sales,Aerial,10-02-1944,TX,Male,Asian,Married,Fully Meets,3.0,16-11-2022,4.0,3.0,3.0,08-Jul-23,Communication Skills,External,Incomplete,5.0,919.52,76.0
3462.0,13-Sep-18,Area Sales Manager,MSC,1,Contract,Zone A,Full-Time,Sales,Field Operations,09-08-1942,CO,Male,Hispanic,Divorced,Needs Improvement,3.0,08-11-2022,3.0,3.0,1.0,19-Jul-23,Project Management,External,Completed,1.0,320.01,76.0
3463.0,30-Apr-20,Area Sales Manager,TNS,1,Part-Time,Zone A,Temporary,Sales,Field Operations,21-06-1951,IN,Male,Hispanic,Single,Fully Meets,1.0,18-09-2022,4.0,3.0,4.0,29-Aug-22,Technical Skills,Internal,Incomplete,4.0,926.19,69.0
3464.0,03-Dec-18,Area Sales Manager,PYZ,1,Contract,Zone B,Full-Time,Sales,Shop (Fleet),17-06-1998,MA,Male,Black,Widowed,Needs Improvement,5.0,29-12-2022,2.0,5.0,3.0,13-Nov-22,Customer Service,External,Passed,2.0,290.47,20.0
3465.0,08-Nov-21,Area Sales Manager,WBL,1,Full-Time,Zone B,Full-Time,Sales,General - Con,07-01-1962,MA,Male,Asian,Divorced,Needs Improvement,3.0,19-05-2023,5.0,4.0,3.0,04-Jun-23,Communication Skills,External,Incomplete,1.0,706.1,59.0
3466.0,13-Apr-22,Area Sales Manager,PYZ,1,Part-Time,Zone C,Full-Time,IT/IS,Aerial,26-01-1979,KY,Male,Other,Married,Exceeds,4.0,04-08-2023,1.0,3.0,4.0,07-Dec-22,Customer Service,External,Passed,3.0,447.66,43.0
3467.0,06-May-20,Area Sales Manager,WBL,1,Contract,Zone A,Part-Time,Sales,Fielders,14-05-1987,KY,Female,Asian,Divorced,Exceeds,1.0,27-06-2023,4.0,3.0,2.0,24-Feb-23,Technical Skills,Internal,Incomplete,1.0,759.7,33.0
3468.0,09-Sep-19,Area Sales Manager,NEL,1,Contract,Zone B,Temporary,Sales,Wireline Construction,26-04-1998,KY,Female,Black,Single,Fully Meets,4.0,05-02-2023,3.0,1.0,3.0,10-May-23,Customer Service,Internal,Completed,3.0,180.63,21.0
3471.0,29-Feb-20,Area Sales Manager,CCDR,1,Part-Time,Zone C,Temporary,Sales,Field Operations,03-01-1967,TX,Male,Asian,Married,Fully Meets,4.0,30-04-2023,2.0,4.0,1.0,23-Mar-23,Customer Service,External,Passed,3.0,109.98,53.0
3472.0,15-Jan-23,Area Sales Manager,SVG,1,Contract,Zone C,Full-Time,Sales,Project Management - Con,12-01-1982,TX,Male,Other,Married,Exceeds,4.0,26-07-2023,5.0,5.0,4.0,12-Feb-23,Technical Skills,External,Completed,5.0,537.24,41.0
3473.0,29-Jun-23,Area Sales Manager,EW,1,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),01-10-1950,CO,Male,Hispanic,Widowed,Exceeds,2.0,28-06-2023,3.0,4.0,4.0,06-Dec-22,Communication Skills,External,Failed,5.0,789.99,73.0
3474.0,09-Mar-20,Area Sales Manager,MSC,1,Full-Time,Zone A,Temporary,Sales,Catv,16-12-1965,CO,Male,Other,Divorced,Fully Meets,2.0,09-05-2023,3.0,1.0,2.0,01-Sep-22,Customer Service,External,Incomplete,5.0,155.51,55.0
3475.0,21-Sep-21,Area Sales Manager,TNS,1,Full-Time,Zone C,Temporary,Sales,General - Con,25-12-1957,IN,Male,Asian,Widowed,Fully Meets,2.0,25-01-2023,4.0,3.0,4.0,02-Nov-22,Customer Service,Internal,Passed,2.0,648.76,64.0
3476.0,12-Jun-23,Area Sales Manager,PYZ,1,Part-Time,Zone A,Temporary,Sales,Fielders,20-06-1945,MA,Male,Asian,Divorced,Needs Improvement,2.0,03-03-2023,5.0,5.0,3.0,18-Nov-22,Leadership Development,Internal,Incomplete,4.0,533.5,78.0
3477.0,07-Apr-19,Area Sales Manager,PYZ,1,Part-Time,Zone A,Full-Time,IT/IS,Aerial,03-12-1969,KY,Female,Asian,Widowed,Needs Improvement,2.0,05-12-2022,1.0,2.0,1.0,07-Nov-22,Leadership Development,External,Failed,5.0,429.48,50.0
3478.0,17-Sep-18,Area Sales Manager,WBL,1,Full-Time,Zone C,Temporary,Sales,Wireline Construction,10-10-1957,KY,Female,Hispanic,Married,Fully Meets,2.0,29-11-2022,3.0,4.0,1.0,05-Oct-22,Technical Skills,External,Incomplete,1.0,526.74,61.0
3479.0,02-Aug-22,Area Sales Manager,NEL,1,Contract,Zone A,Part-Time,Sales,Project Management - Con,17-05-1962,TX,Female,Hispanic,Widowed,Fully Meets,2.0,03-11-2022,4.0,4.0,4.0,18-Jan-23,Communication Skills,Internal,Passed,3.0,443.45,60.0
3483.0,26-Sep-21,Area Sales Manager,SVG,1,Part-Time,Zone B,Temporary,Sales,Project Management - Con,19-06-1964,CO,Male,Asian,Widowed,Fully Meets,1.0,23-10-2022,1.0,4.0,5.0,10-Aug-22,Project Management,External,Passed,4.0,111.96,57.0
3484.0,29-Aug-18,Area Sales Manager,EW,1,Part-Time,Zone B,Full-Time,Sales,General - Con,18-07-1995,CO,Male,Other,Single,Fully Meets,4.0,16-09-2022,1.0,2.0,4.0,27-Jun-23,Project Management,External,Passed,1.0,795.7,23.0
3485.0,26-Oct-21,Area Sales Manager,MSC,1,Contract,Zone C,Full-Time,Sales,Field Operations,22-08-1994,CO,Male,White,Widowed,Fully Meets,5.0,07-05-2023,2.0,1.0,3.0,07-Aug-22,Customer Service,Internal,Passed,2.0,796.45,27.0
3486.0,31-Oct-22,Area Sales Manager,TNS,1,Part-Time,Zone C,Temporary,Sales,Fielders,14-11-1990,IN,Male,Other,Widowed,Fully Meets,4.0,27-08-2022,3.0,1.0,1.0,23-Jul-23,Project Management,Internal,Completed,5.0,812.59,32.0
3487.0,15-Mar-23,Area Sales Manager,BPC,1,Contract,Zone B,Part-Time,Sales,General - Sga,01-02-1994,KY,Female,Other,Divorced,Fully Meets,4.0,23-09-2022,5.0,4.0,1.0,17-Jul-23,Project Management,External,Completed,5.0,132.97,29.0
3488.0,09-Sep-22,Area Sales Manager,CCDR,1,Contract,Zone B,Full-Time,Sales,Wireline Construction,12-11-1997,KY,Female,Asian,Single,Fully Meets,2.0,11-03-2023,1.0,5.0,1.0,20-Sep-22,Communication Skills,Internal,Completed,1.0,308.19,25.0
3489.0,04-Mar-22,Area Sales Manager,EW,1,Part-Time,Zone A,Temporary,Sales,Field Operations,02-05-1953,TX,Female,Black,Divorced,Fully Meets,2.0,03-12-2022,2.0,4.0,5.0,02-Jul-23,Project Management,Internal,Passed,1.0,131.41,69.0
3490.0,11-Feb-19,Area Sales Manager,MSC,1,Part-Time,Zone A,Part-Time,Sales,General - Sga,10-07-1991,TX,Female,Hispanic,Divorced,Fully Meets,2.0,12-10-2022,5.0,3.0,2.0,19-Jul-23,Technical Skills,Internal,Failed,3.0,389.59,28.0
3491.0,26-Jan-21,Area Sales Manager,NEL,1,Contract,Zone B,Full-Time,Sales,Field Operations,02-06-1973,TX,Male,White,Widowed,Fully Meets,5.0,10-09-2022,3.0,4.0,5.0,14-Jul-23,Project Management,Internal,Incomplete,3.0,442.56,48.0
3492.0,26-Nov-19,Area Sales Manager,PL,1,Full-Time,Zone C,Full-Time,Sales,General - Con,08-01-1993,CO,Male,Asian,Married,Fully Meets,1.0,13-01-2023,1.0,5.0,5.0,06-Sep-22,Project Management,Internal,Incomplete,3.0,327.66,26.0
3493.0,15-Jul-19,Area Sales Manager,PYZ,1,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,17-04-1984,CO,Male,Asian,Widowed,Fully Meets,5.0,02-04-2023,3.0,1.0,5.0,19-Feb-23,Project Management,Internal,Completed,3.0,400.95,35.0
3494.0,18-Jun-20,Area Sales Manager,SVG,1,Contract,Zone B,Full-Time,Sales,General - Con,08-02-1994,CO,Male,Black,Single,Fully Meets,4.0,15-12-2022,1.0,2.0,1.0,11-Feb-23,Technical Skills,Internal,Completed,2.0,910.45,26.0
3495.0,22-Jun-23,Area Sales Manager,TNS,1,Part-Time,Zone B,Temporary,Sales,Wireline Construction,27-01-1993,IN,Male,Other,Married,Fully Meets,4.0,08-09-2022,4.0,3.0,5.0,21-Dec-22,Customer Service,External,Passed,1.0,701.55,30.0
3496.0,02-Dec-21,Area Sales Manager,WBL,1,Contract,Zone A,Part-Time,Sales,General - Sga,19-09-1964,CA,Male,Other,Widowed,Fully Meets,5.0,26-12-2022,1.0,3.0,2.0,16-Feb-23,Project Management,Internal,Incomplete,1.0,806.87,57.0
3497.0,08-Dec-21,Area Sales Manager,TNS,1,Part-Time,Zone C,Temporary,Sales,Project Management - Con,18-02-1981,OR,Female,Hispanic,Widowed,Fully Meets,1.0,18-09-2022,2.0,3.0,4.0,11-Mar-23,Communication Skills,Internal,Completed,2.0,184.21,40.0
3498.0,26-Apr-23,Area Sales Manager,PYZ,1,Full-Time,Zone A,Full-Time,Sales,General - Sga,17-10-1998,KY,Female,White,Widowed,Fully Meets,2.0,19-06-2023,3.0,3.0,4.0,30-May-23,Project Management,External,Failed,1.0,208.43,25.0
3499.0,25-Sep-18,Area Sales Manager,WBL,1,Part-Time,Zone C,Temporary,Sales,Field Operations,16-01-1971,KY,Female,Asian,Widowed,Fully Meets,5.0,21-07-2023,5.0,3.0,5.0,30-Jan-23,Technical Skills,Internal,Incomplete,2.0,762.45,47.0
3500.0,20-Nov-18,Area Sales Manager,NEL,1,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),25-02-2000,TX,Female,White,Divorced,Fully Meets,1.0,14-05-2023,4.0,1.0,4.0,15-Jun-23,Leadership Development,External,Incomplete,4.0,779.79,18.0
3502.0,01-Oct-19,Area Sales Manager,BPC,1,Full-Time,Zone C,Temporary,Sales,Splicing,29-06-1976,TX,Male,White,Married,Fully Meets,1.0,24-04-2023,5.0,3.0,5.0,03-Jan-23,Customer Service,External,Incomplete,3.0,427.12,43.0
3503.0,20-Jan-22,Area Sales Manager,CCDR,1,Part-Time,Zone A,Temporary,Sales,Project Management - Con,27-07-1951,CO,Male,Other,Single,Fully Meets,4.0,28-01-2023,5.0,2.0,3.0,20-Feb-23,Technical Skills,Internal,Completed,4.0,996.35,71.0
3504.0,10-Oct-21,Area Sales Manager,SVG,1,Full-Time,Zone B,Part-Time,Sales,General - Con,23-08-1980,CO,Male,Hispanic,Married,Fully Meets,2.0,20-04-2023,3.0,4.0,3.0,02-Jun-23,Communication Skills,Internal,Completed,5.0,963.23,41.0
3505.0,29-Aug-20,Area Sales Manager,EW,1,Contract,Zone B,Temporary,Sales,Field Operations,24-07-1943,IN,Male,Hispanic,Widowed,Fully Meets,1.0,10-11-2022,4.0,3.0,2.0,13-Sep-22,Leadership Development,Internal,Failed,5.0,260.97,77.0
3506.0,27-Aug-19,Area Sales Manager,MSC,1,Full-Time,Zone B,Temporary,Sales,Field Operations,06-07-1988,IN,Male,Other,Married,Fully Meets,2.0,27-06-2023,2.0,2.0,3.0,21-May-23,Leadership Development,Internal,Completed,1.0,781.81,31.0
3507.0,25-Feb-21,Area Sales Manager,TNS,1,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,24-03-1973,CA,Male,White,Single,Fully Meets,4.0,31-03-2023,2.0,5.0,2.0,25-May-23,Project Management,Internal,Passed,4.0,651.77,48.0
3508.0,13-Jul-21,Area Sales Manager,CCDR,1,Full-Time,Zone B,Part-Time,Sales,Aerial,26-05-1942,OR,Male,Asian,Single,Fully Meets,5.0,17-04-2023,1.0,5.0,4.0,04-Apr-23,Communication Skills,External,Completed,1.0,568.22,79.0
3509.0,14-Apr-21,Area Sales Manager,BPC,1,Part-Time,Zone C,Full-Time,Sales,General - Sga,04-11-1977,KY,Female,Black,Married,Fully Meets,2.0,03-12-2022,4.0,5.0,2.0,04-Mar-23,Leadership Development,External,Completed,4.0,612.1,44.0
3510.0,10-Feb-20,Area Sales Manager,PYZ,1,Part-Time,Zone A,Full-Time,Sales,General - Con,17-10-1956,KY,Female,Hispanic,Married,Fully Meets,2.0,22-08-2022,2.0,4.0,3.0,27-Oct-22,Technical Skills,External,Completed,4.0,473.23,64.0
3511.0,17-Aug-21,Area Sales Manager,WBL,1,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,18-02-1997,KY,Female,Asian,Divorced,Fully Meets,4.0,11-05-2023,5.0,4.0,5.0,07-Apr-23,Technical Skills,Internal,Completed,3.0,344.44,24.0
3514.0,15-Apr-20,Area Sales Manager,BPC,1,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,03-01-1958,TX,Male,Asian,Married,Fully Meets,1.0,25-08-2022,2.0,1.0,1.0,21-Feb-23,Leadership Development,Internal,Incomplete,3.0,975.46,62.0
3516.0,07-Apr-22,Area Sales Manager,SVG,1,Contract,Zone B,Part-Time,Sales,Project Management - Con,25-06-1988,CO,Male,Asian,Divorced,Fully Meets,5.0,15-11-2022,2.0,3.0,5.0,22-Jun-23,Technical Skills,Internal,Incomplete,1.0,570.42,34.0
3517.0,19-Feb-20,Area Sales Manager,EW,1,Part-Time,Zone A,Part-Time,Sales,Splicing,04-01-1942,IN,Male,Hispanic,Widowed,Fully Meets,4.0,01-01-2023,4.0,1.0,1.0,17-Sep-22,Technical Skills,Internal,Failed,3.0,391.31,78.0
3518.0,10-Apr-21,Area Sales Manager,MSC,1,Contract,Zone B,Part-Time,Sales,General - Eng,24-05-1969,CA,Female,Hispanic,Married,Fully Meets,2.0,13-05-2023,4.0,2.0,5.0,27-Jun-23,Customer Service,Internal,Completed,3.0,826.58,52.0
3519.0,19-Dec-21,Area Sales Manager,TNS,1,Part-Time,Zone C,Temporary,Sales,Aerial,28-03-1951,CA,Male,Hispanic,Widowed,Fully Meets,2.0,10-06-2023,1.0,3.0,4.0,11-Dec-22,Leadership Development,External,Incomplete,4.0,930.69,70.0
3520.0,13-Dec-20,Area Sales Manager,TNS,1,Full-Time,Zone C,Temporary,Sales,Project Management - Con,01-03-1963,ND,Female,Black,Divorced,Fully Meets,1.0,17-09-2022,5.0,1.0,1.0,11-Sep-22,Customer Service,External,Incomplete,1.0,607.93,57.0
3521.0,26-Feb-19,Area Sales Manager,WBL,1,Contract,Zone C,Part-Time,Sales,General - Con,16-04-1949,KY,Female,Asian,Divorced,Fully Meets,4.0,19-09-2022,1.0,3.0,3.0,28-Feb-23,Communication Skills,Internal,Incomplete,5.0,723.5,70.0
3522.0,02-Mar-20,Area Sales Manager,BPC,1,Full-Time,Zone C,Part-Time,Sales,Splicing,12-10-1983,KY,Female,Other,Single,Fully Meets,1.0,14-07-2023,1.0,5.0,4.0,05-May-23,Communication Skills,External,Completed,5.0,394.04,37.0
3523.0,25-Jun-21,Area Sales Manager,CCDR,1,Full-Time,Zone A,Temporary,Sales,General - Con,19-12-1978,KY,Female,Other,Single,Fully Meets,2.0,27-02-2023,3.0,2.0,3.0,10-Jul-23,Leadership Development,External,Incomplete,2.0,451.18,43.0
3526.0,15-Sep-22,Area Sales Manager,NEL,1,Full-Time,Zone B,Full-Time,Sales,General - Con,30-05-1948,TX,Male,White,Widowed,Fully Meets,4.0,28-01-2023,1.0,5.0,3.0,15-Oct-22,Customer Service,Internal,Passed,2.0,360.5,74.0
3527.0,01-May-20,Area Sales Manager,PL,1,Full-Time,Zone B,Temporary,Sales,Aerial,15-10-1974,CO,Male,Black,Married,Fully Meets,1.0,27-02-2023,1.0,3.0,2.0,06-Jan-23,Project Management,Internal,Failed,4.0,396.28,46.0
3528.0,13-Oct-22,Area Sales Manager,PYZ,1,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,13-12-1991,CO,Male,Hispanic,Widowed,Fully Meets,2.0,27-05-2023,5.0,2.0,2.0,02-Mar-23,Technical Skills,External,Passed,1.0,465.96,31.0
3529.0,03-Jan-20,Area Sales Manager,SVG,1,Part-Time,Zone C,Full-Time,Sales,Field Operations,18-06-1994,IN,Male,Hispanic,Single,Fully Meets,2.0,15-07-2023,2.0,3.0,4.0,04-Sep-22,Project Management,Internal,Incomplete,1.0,515.56,26.0
3530.0,13-Nov-19,Area Sales Manager,TNS,1,Full-Time,Zone B,Part-Time,Sales,Field Operations,16-06-1993,CA,Female,Black,Widowed,Fully Meets,2.0,27-11-2022,1.0,2.0,5.0,18-Jan-23,Customer Service,External,Passed,2.0,496.85,26.0
3531.0,17-Jun-23,Area Sales Manager,WBL,1,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,18-05-1943,CA,Male,Black,Divorced,Fully Meets,1.0,24-02-2023,2.0,4.0,4.0,30-Nov-22,Leadership Development,External,Completed,3.0,629.46,80.0
3532.0,14-Oct-21,Area Sales Manager,EW,1,Part-Time,Zone B,Full-Time,IT/IS,Wireless,27-11-1966,OR,Female,Black,Widowed,Fully Meets,1.0,08-10-2022,2.0,2.0,5.0,02-May-23,Technical Skills,Internal,Failed,2.0,771.61,55.0
3533.0,01-Jun-21,Area Sales Manager,MSC,1,Contract,Zone B,Full-Time,Sales,General - Sga,12-11-1966,ND,Male,White,Married,Fully Meets,2.0,08-01-2023,2.0,5.0,2.0,11-May-23,Leadership Development,Internal,Completed,4.0,418.4,55.0
3534.0,14-Sep-18,Area Sales Manager,TNS,1,Full-Time,Zone A,Full-Time,Sales,Engineers,16-08-1959,KY,Female,Asian,Single,Fully Meets,4.0,14-04-2023,4.0,3.0,2.0,21-May-23,Customer Service,Internal,Completed,3.0,900.96,59.0
3535.0,11-Dec-18,Area Sales Manager,PYZ,1,Full-Time,Zone A,Temporary,Sales,Fielders,02-02-1994,KY,Female,Black,Single,Fully Meets,4.0,01-11-2022,1.0,5.0,1.0,25-Jun-23,Technical Skills,External,Incomplete,1.0,936.96,24.0
3536.0,06-Aug-22,Area Sales Manager,WBL,1,Contract,Zone C,Temporary,Sales,General - Sga,02-01-1989,GA,Female,Black,Single,Fully Meets,2.0,09-10-2022,1.0,2.0,4.0,23-Nov-22,Leadership Development,External,Passed,5.0,269.03,33.0
3539.0,08-Dec-19,Area Sales Manager,BPC,1,Full-Time,Zone C,Temporary,Sales,General - Con,27-11-1983,CO,Male,Hispanic,Single,Fully Meets,5.0,06-02-2023,3.0,3.0,4.0,17-Mar-23,Project Management,External,Failed,4.0,234.77,36.0
3540.0,12-Mar-20,Area Sales Manager,CCDR,1,Full-Time,Zone B,Part-Time,Sales,Splicing,09-06-1983,CO,Male,White,Widowed,Exceeds,4.0,25-06-2023,2.0,2.0,3.0,26-Oct-22,Communication Skills,External,Incomplete,2.0,903.46,37.0
3541.0,06-Apr-20,Area Sales Manager,SVG,1,Full-Time,Zone B,Full-Time,Sales,Field Operations,27-10-1991,IN,Male,Black,Married,Exceeds,2.0,28-11-2022,1.0,3.0,3.0,22-May-23,Customer Service,External,Passed,4.0,380.3,29.0
3542.0,15-Apr-23,Area Sales Manager,EW,1,Contract,Zone A,Temporary,Sales,Field Operations,01-03-1948,IN,Male,White,Married,Needs Improvement,1.0,18-10-2022,2.0,3.0,4.0,22-Aug-22,Project Management,Internal,Failed,4.0,511.42,75.0
3543.0,10-Nov-20,Area Sales Manager,MSC,1,Part-Time,Zone A,Temporary,Sales,General - Con,18-02-1981,CA,Female,Black,Single,Fully Meets,2.0,11-02-2023,4.0,5.0,5.0,21-May-23,Communication Skills,External,Passed,4.0,171.03,39.0
